Unnamed: 0,Driver,Season,Races,Fastest laps,Percentage
1,Alberto Ascari,1952,8,6,75.00%
2,Juan Manuel Fangio,1951,8,5,62.50%
3,Jim Clark,1963,10,6,60.00%
3,Jim Clark,1965,10,6,60.00%
5,Jim Clark,1962,9,5,55.56%
5,Michael Schumacher,2004,18,10,55.56%
5,Kimi Räikkönen,2008,18,10,55.56%
8,Mika Häkkinen,2000,17,9,52.94%
9,Kimi Räikkönen,2005,19,10,52.63%
10,Juan Manuel Fangio,1956,8,4,50.00%
10,Nigel Mansell,1992,16,8,50.00%
10,Michael Schumacher,1994,16,8,50.00%
Source:[44],Source:[44],Source:[44],Source:[44],Source:[44],Source:[44]
