Unnamed: 0,Driver,Fastest laps,Grand Prix,Seasons
1,Nigel Mansell,7,British Grand Prix,"1986, 1987, 1988, 1989, 1990, 1991, 1992"
1,Michael Schumacher,7,Spanish Grand Prix,"1993, 1994, 1996, 1999, 2001, 2002, 2004"
1,Lewis Hamilton,7,Italian Grand Prix,"2011, 2013, 2014, 2015, 2018, 2019, 2020"
4,Alain Prost,6,Belgian Grand Prix,"1985, 1986, 1987, 1989, 1990, 1993"
4,Michael Schumacher,6,European Grand Prix,"1994, 1995, 2000, 2002, 2004, 2006"
4,Kimi Räikkönen,6,Australian Grand Prix,"2002, 2003, 2006, 2007, 2013, 2017"
7,Stirling Moss,5,British Grand Prix,"1954, 1955, 1956, 1957, 1959"
7,Jim Clark,5,Dutch Grand Prix,"1961, 1963, 1964, 1965, 1967"
7,David Coulthard,5,French Grand Prix,"1998, 1999, 2000, 2001, 2002"
7,Michael Schumacher,5,Australian Grand Prix,"1992, 1994, 1999, 2001, 2004"
7,Michael Schumacher,5,San Marino Grand Prix,"1998, 1999, 2003, 2004, 2005"
7,Michael Schumacher,5,Monaco Grand Prix,"1994, 1997, 2004, 2005, 2006"
7,Michael Schumacher,5,French Grand Prix,"1993, 1995, 1997, 2004, 2006"
7,Michael Schumacher,5,Brazilian Grand Prix,"1993, 1994, 1995, 2000, 2006"
7,Michael Schumacher,5,German Grand Prix,"1993, 1995, 2002, 2006, 2012"
7,Sebastian Vettel,5,United States Grand Prix,"2012, 2013, 2014, 2016, 2017"
7,Lewis Hamilton,5,Spanish Grand Prix,"2010, 2011, 2015, 2017, 2019"
7,Lewis Hamilton,5,British Grand Prix,"2014, 2015, 2017, 2019, 2022"
Source:[48],Source:[48],Source:[48],Source:[48],Source:[48]
