Unnamed: 0,Driver,Seasons,Entries,Podiums,Percentage
1,Lewis Hamilton,2007–2025,380,202,53.16%
2,Michael Schumacher,"1991–2006, 2010–2012",308,155,50.32%
3,Max Verstappen,2015–2025,233,127,54.51%
4,Sebastian Vettel,2007–2022,300,122,40.67%
5,Alain Prost,"1980–1991, 1993",202,106,52.48%
5,Fernando Alonso,"2001, 2003–2018, 2021–2025",428,106,24.77%
7,Kimi Räikkönen,"2001–2009, 2012–2021",353,103,29.18%
8,Ayrton Senna,1984–1994,162,80,49.38%
9,Rubens Barrichello,1993–2011,326,68,20.86%
10,Valtteri Bottas,2013–2024,247,67,27.13%
Source:[51],Source:[51],Source:[51],Source:[51],Source:[51],Source:[51]
