Unnamed: 0,Driver,Seasons,Starts,Podiums,Percentage
1,Juan Manuel Fangio,"1950–1951, 1953–1958",51,35,68.63%
2,Giuseppe Farina,1950–1955,33,20[N 10],60.61%
3,José Froilán González,"1950–1957, 1960",26,15,57.69%
4,Max Verstappen,2015–2025,233,127,54.51%
5,Alain Prost,"1980–1991, 1993",199,106,53.27%
6,Lewis Hamilton,2007–2025,380,202,53.16%
7,Alberto Ascari,1950–1955,32,17,53.13%
8,Michael Schumacher,"1991–2006, 2010–2012",306,155,50.65%
9,Ayrton Senna,1984–1994,161,80,49.69%
10,Jim Clark,1960–1968,72,32,44.44%
Source:[51],Source:[51],Source:[51],Source:[51],Source:[51],Source:[51]
