Unnamed: 0,Driver,Season,Races,Podiums,Percentage,WDC
1,Max Verstappen,2023,22,21,95.45%,1st
2,Max Verstappen,2021,22,18,81.82%,1st
2,Lando Norris,2025,24,18,75.00%,1st
4,Michael Schumacher,2002,17,17,100.00%,1st
4,Sebastian Vettel,2011,19,17,89.47%,1st
4,Lewis Hamilton,2015,19,17,89.47%,1st
4,Lewis Hamilton,2016,21,17,80.95%,2nd
4,Lewis Hamilton,2018,21,17,80.95%,1st
4,Lewis Hamilton,2019,21,17,80.95%,1st
4,Lewis Hamilton,2021,22,17,77.27%,2nd
4,Max Verstappen,2022,22,17,77.27%,1st
Source:[52],Source:[52],Source:[52],Source:[52],Source:[52],Source:[52],Source:[52]
