Unnamed: 0,Driver,Season,Races,Podiums,Percentage
1,Michael Schumacher,2002,17,17,100.00%
2,Max Verstappen,2023,22,21,95.45%
3,Jim Clark,1963,10,9,90.00%
4,Sebastian Vettel,2011,19,17,89.47%
4,Lewis Hamilton,2015,19,17,89.47%
6,Alain Prost,1988,16,14,87.50%
7,Sebastian Vettel,2013,19,16,84.21%
7,Lewis Hamilton,2014,19,16,84.21%
9,Michael Schumacher,2004,18,15,83.33%
10,Michael Schumacher,2001,17,14,82.35%
10,Lewis Hamilton,2020,17,14,82.35%
Source:[52],Source:[52],Source:[52],Source:[52],Source:[52],Source:[52]
