Unnamed: 0,Driver,Podiums,Races
1,Michael Schumacher,19,2001 United States – 2002 Japanese
2,Lewis Hamilton,16,2014 Italian – 2015 British
3,Fernando Alonso,15,2005 Turkish – 2006 Canadian
3,Max Verstappen,15,2022 Abu Dhabi – 2023 Italian
5,Sebastian Vettel,11,2010 Brazilian – 2011 British
5,Sebastian Vettel,11,2013 German – 2013 Brazilian
7,Lewis Hamilton,10,2018 Brazilian – 2019 French
7,Max Verstappen,10,2025 Dutch – 2025 Abu Dhabi (ongoing)
9,Jim Clark,9,1963 Belgian – 1963 South African
9,Niki Lauda,9,1975 Italian – 1976 Swedish
9,Nelson Piquet,9,1987 Monaco – 1987 Portuguese
9,Michael Schumacher,9,2000 Hungarian – 2001 Brazilian
9,Michael Schumacher,9,2004 European – 2004 Italian
9,Lewis Hamilton,9,2007 Australian – 2007 British
9,Lewis Hamilton,9,2018 British – 2018 United States
9,Nico Rosberg,9,2015 Australian – 2015 British
9,Nico Rosberg,9,2016 Belgian – 2016 Abu Dhabi
9,Max Verstappen,9,2023 Japanese – 2024 Saudi Arabian
Source:[53],Source:[53],Source:[53],Source:[53]
