Unnamed: 0,Driver,Seasons,Entries,Starts,Best result
1,Adrian Sutil,"2007–2011, 2013–2014",128,128,4th
2,Pierluigi Martini,"1984–1985, 1988–1995",124,119,4th
3,Philippe Alliot,"1984–1990, 1993–1994",116,109,5th
4,Yuki Tsunoda,2021–2025,114,111,4th
5,Pedro Diniz,1995–2000,99,98,5th
6,Marcus Ericsson,2014–2018,97,97,8th
7,Ukyo Katayama,1992–1997,97,95,5th
8,Jonathan Palmer,1983–1989,88,83,4th
9,Marc Surer,1979–1986,88,82,4th
10,Vitantonio Liuzzi,"2005–2007, 2009–2011",81,80,6th
Sources:[57][58],Sources:[57][58],Sources:[57][58],Sources:[57][58],Sources:[57][58],Sources:[57][58]
