Unnamed: 0,Driver,Points,Season,Races,Percentage,WDC
1,Max Verstappen,575,2023,22,92.74%,1st
2,Max Verstappen,454,2022,22,76.17%,1st
3,Max Verstappen,437,2024,24,65.03%,1st
4,Lando Norris,423,2025,24,65.28%,1st
5,Max Verstappen,421,2025,24,64.97%,2nd
6,Lewis Hamilton,413,2019,21,75.64%,1st
7,Oscar Piastri,410,2025,24,63.27%,3rd
8,Lewis Hamilton,408,2018,21,77.71%,1st
9,Sebastian Vettel,397,2013,19,83.58%,1st
10,Max Verstappen,395.5,2021,22,69.69%,1st
Sources:[64][65],Sources:[64][65],Sources:[64][65],Sources:[64][65],Sources:[64][65],Sources:[64][65],Sources:[64][65]
