Unnamed: 0,Driver,Points,Season,Races,Average,WDC
1,Max Verstappen,575,2023,22,26.14,1st
2,Sebastian Vettel,397,2013,19,20.89,1st
3,Max Verstappen,454,2022,22,20.64,1st
4,Sebastian Vettel,392,2011,19,20.63,1st
5,Lewis Hamilton,347,2020,17,20.41,1st
6,Lewis Hamilton,384,2014,19†,20.21,1st
7,Lewis Hamilton,381,2015,19,20.05,1st
8,Lewis Hamilton,413,2019,21,19.67,1st
9,Lewis Hamilton,408,2018,21,19.43,1st
10,Nico Rosberg,385,2016,21,18.33,1st
Source:[66],Source:[66],Source:[66],Source:[66],Source:[66],Source:[66],Source:[66]
