Unnamed: 0,Driver,Season,Races,Points,Percentage,WDC,Unnamed: 7
1,Max Verstappen,2023,22,575,92.74%,1st,
2,Michael Schumacher,2002,17,144,84.70%,1st,
3,Sebastian Vettel,2013,19,397,83.58%,1st,
4,Sebastian Vettel,2011,19,392,82.53%,1st,
5,Michael Schumacher,2004,18,148,82.22%,1st,
6,Jim Clark,1963,10,73,81.11%,1st,
7,Lewis Hamilton,2015,19,381,80.21%,1st,
8,Lewis Hamilton,2020,17,347,78.50%,1st,
9,Lewis Hamilton,2018,21,408,77.71%,1st,
10,Lewis Hamilton,2014,19†,384,76.80%,1st,
Sources:[64][67],Sources:[64][67],Sources:[64][67],Sources:[64][67],Sources:[64][67],Sources:[64][67],Sources:[64][67],Sources:[64][67]
