Unnamed: 0,Driver,Points,Best WDC finish
1,Valtteri Bottas,1797,2nd in 2019 and 2020
2,Charles Leclerc,1672,2nd in 2022
3,Sergio Pérez,1638,2nd in 2023
4,Carlos Sainz Jr.,1336.5,"5th in 2021, 2022 and 2024"
5,Daniel Ricciardo,1329,3rd in 2014 and 2016
6,Felipe Massa,1167,2nd in 2008
7,Mark Webber,1047.5,"3rd in 2010, 2011, and 2013"
8,George Russell,1033,4th in 2022 and 2025
9,Oscar Piastri,799,3rd in 2025
10,Rubens Barrichello,658,2nd in 2002 and 2004
Sources:[61][62],Sources:[61][62],Sources:[61][62],Sources:[61][62]
