Unnamed: 0,Driver,Age,Race
1,Luigi Fagioli,"52 years, 9 days",1950 Belgian Grand Prix
2,Felice Bonetto,"48 years, 35 days",1951 British Grand Prix
3,Giuseppe Farina,"47 years, 233 days",1954 Belgian Grand Prix
4,Juan Manuel Fangio,"46 years, 209 days",1958 Argentine Grand Prix
5,Piero Taruffi,"45 years, 219 days",1952 Swiss Grand Prix
6,Jack Brabham,"44 years, 107 days",1970 British Grand Prix
7,Mauri Rose,"44 years, 4 days",1950 Indianapolis 500[N 1]
8,Karl Kling,"43 years, 354 days",1954 Italian Grand Prix
9,Raymond Sommer,"43 years, 291 days",1950 Belgian Grand Prix
10,Paul Russo,"43 years, 50 days",1957 Indianapolis 500[N 1]
Source:[83],Source:[83],Source:[83],Source:[83]
