Unnamed: 0,Driver,Races led,Races
1,Lewis Hamilton,18,2014 Hungarian Grand Prix – 2015 British Grand Prix
2,Jackie Stewart,17,1968 United States Grand Prix – 1970 Belgian Grand Prix
3,Michael Schumacher,15,2004 Australian Grand Prix – 2004 Italian Grand Prix
4,Lewis Hamilton,14,2020 Styrian Grand Prix – 2020 Bahrain Grand Prix
4,Max Verstappen,14,2023 Japanese Grand Prix – 2024 Emilia Romagna Grand Prix
6,Sebastian Vettel,13,2010 Japanese Grand Prix – 2011 British Grand Prix
6,Sebastian Vettel,13,2013 Canadian Grand Prix – 2013 Brazilian Grand Prix
8,Ayrton Senna,12,1989 Spanish Grand Prix – 1990 German Grand Prix
8,Michael Schumacher,12,1994 European Grand Prix – 1995 German Grand Prix
8,Fernando Alonso,12,2005 Chinese Grand Prix – 2006 French Grand Prix
8,Lewis Hamilton,12,2019 Bahrain Grand Prix – 2019 Belgian Grand Prix
8,Max Verstappen,12,2023 Australian Grand Prix – 2023 Italian Grand Prix
Source:[86],Source:[86],Source:[86],Source:[86]
