Unnamed: 0,Driver,Laps led,Races
1,Alberto Ascari,304,1952 Belgian Grand Prix – 1952 Dutch Grand Prix
2,Ayrton Senna,264,1988 British Grand Prix – 1988 Italian Grand Prix
3,Max Verstappen,248,2023 Miami Grand Prix – 2023 Austrian Grand Prix
4,Ayrton Senna,237,1989 San Marino Grand Prix – 1989 United States Grand Prix
5,Nigel Mansell,235,1992 Brazilian Grand Prix – 1992 Monaco Grand Prix
6,Sebastian Vettel,205,2012 Singapore Grand Prix – 2012 Indian Grand Prix
7,Jim Clark,186,1963 Mexican Grand Prix – 1964 Monaco Grand Prix
8,Jim Clark,165,1963 Belgian Grand Prix – 1963 French Grand Prix
9,Kimi Räikkönen,162,2005 Spanish Grand Prix – 2005 European Grand Prix
10,Mark Webber,159,2010 Spanish Grand Prix – 2010 Turkish Grand Prix
Source:[87],Source:[87],Source:[87],Source:[87]
