Unnamed: 0,Driver,Distance (km),Races
1,Alberto Ascari,2075,1952 Belgian Grand Prix – 1952 Dutch Grand Prix
2,Ayrton Senna,1435,1988 British Grand Prix – 1988 Italian Grand Prix
3,Jim Clark,1227,1963 Belgian Grand Prix – 1963 French Grand Prix
4,Jim Clark,1150,1965 Belgian Grand Prix – 1965 British Grand Prix
5,Sebastian Vettel,1112,2012 Singapore Grand Prix – 2012 Indian Grand Prix
6,Max Verstappen,1031,2023 Miami Grand Prix – 2023 Austrian Grand Prix
7,Nigel Mansell,1017,1992 Brazilian Grand Prix – 1992 Monaco Grand Prix
8,Ayrton Senna,979,1989 Brazilian Grand Prix – 1989 United States Grand Prix
9,Juan Manuel Fangio,937,1955 Belgian Grand Prix – 1955 British Grand Prix
10,Jack Brabham,847,1960 Dutch Grand Prix – 1960 French Grand Prix
Source:[88],Source:[88],Source:[88],Source:[88]
