Unnamed: 0,Driver,Season,Total races,Races led,Percentage
1,Max Verstappen,2023,22,20,90.91%
2,Lewis Hamilton,2019,21,19,90.48%
3,Sebastian Vettel,2013,19,18,94.74%
4,Sebastian Vettel,2011,19,17,89.47%
4,Lewis Hamilton,2015,19,17,89.47%
4,Max Verstappen,2022,22,17,77.27%
7,Michael Schumacher,2004,18,16,88.89%
7,Max Verstappen,2021,22,16,72.73%
7,Max Verstappen,2024,24,16,66.67%
10,Alain Prost,1993,16,15,93.75%
10,Fernando Alonso,2006,18,15,83.33%
10,Lewis Hamilton,2014,19,15,78.95%
10,Lewis Hamilton,2017,20,15,75%
10,Lewis Hamilton,2018,21,15,71.43%
10,Lewis Hamilton,2021,22,15,68.18%
10,Nico Rosberg,2014,19,15,78.95%
10,Max Verstappen,2025,24,15,62.50%
10,Oscar Piastri,2025,24,15,62.50%
Source:[90],Source:[90],Source:[90],Source:[90],Source:[90],Source:[90]
