Unnamed: 0,Driver,Constructor,Seasons,Entries,Starts
1,Lewis Hamilton,Mercedes,2013–2024,246,246
2,Max Verstappen,Red Bull,2016–2025,210,210
3,Michael Schumacher,Ferrari,1996–2006,181,179
4,Kimi Räikkönen,Ferrari,"2007–2009, 2014–2018",152,151
4,Lando Norris,McLaren,2019–2025,152,152
4,Charles Leclerc,Ferrari,2019–2025,152,150
7,David Coulthard,McLaren,1996–2004,150,150
8,Kevin Magnussen,Haas,"2017–2020, 2022–2024",146,145
9,Felipe Massa,Ferrari,2006–2013,140,139
10,Jenson Button,McLaren,2010–2017,137,136
Source:[6],Source:[6],Source:[6],Source:[6],Source:[6],Source:[6]
