Description,Record,Details,Ref.
Most wins with different constructors,5,"Stirling Moss (Mercedes, Maserati, Vanwall, Cooper, Lotus)",[120]
Most driver wins during seasons without a Constructors' Championship,37,Max Verstappen,[121]
Most wins in a season without winning the Drivers' Championship,10,Lewis Hamilton (2016),[122]
Most wins at different Grands Prix,31,Lewis Hamilton,[123]
Most wins at different circuits,31,Lewis Hamilton,[124]
Most wins at the same circuit,9,Lewis Hamilton (Silverstone),[125]
Most wins at a driver's national Grand Prix,9,Lewis Hamilton,[126]
Most wins in a driver's home country,9,Michael Schumacher  Lewis Hamilton,[127]
Most seasons with a win,16,Lewis Hamilton,[128]
Longest time between first and last wins,"17 years, 48 days",Lewis Hamilton (2007 Canadian Grand Prix – 2024 Belgian Grand Prix),[129]
Longest time between successive wins,"6 years, 210 days",Riccardo Patrese (1983 South African Grand Prix – 1990 San Marino Grand Prix),[130]
Most races between successive wins,114,Kimi Räikkönen (2013 Australian Grand Prix – 2018 United States Grand Prix),[130]
Most race winners in a season,11 (1982),Alain Prost  Niki Lauda  Didier Pironi  John Watson  Riccardo Patrese  Nelson Piquet  René Arnoux  Patrick Tambay  Elio de Angelis  Keke Rosberg  Michele Alboreto,[131][132]
Most multiple race winners in a season,7 (2024),Max Verstappen – 9 wins  Lando Norris – 4 wins  Charles Leclerc – 3 wins  Lewis Hamilton – 2 wins  Oscar Piastri – 2 wins  Carlos Sainz Jr. – 2 wins  George Russell – 2 wins,[133]
Fewest race winners in a season,3,"Giuseppe Farina, Juan Manuel Fangio, Johnnie Parsons (1950)  Piero Taruffi, Troy Ruttman, Alberto Ascari (1952)  Jim Clark, Graham Hill, John Surtees (1963)  Ayrton Senna, Alain Prost, Gerhard Berger (1988)  Lewis Hamilton, Nico Rosberg, Daniel Ricciardo (2014)  Lewis Hamilton, Nico Rosberg, Sebastian Vettel (2015)  Max Verstappen, Sergio Pérez, Carlos Sainz Jr. (2023)",[134]
Most different race winners in consecutive races,9 (1961–1962) (1982),Giancarlo Baghetti (1961 French Grand Prix)  Wolfgang von Trips (1961 British Grand Prix)  Stirling Moss (1961 German Grand Prix)  Phil Hill (1961 Italian Grand Prix)  Innes Ireland (1961 United States Grand Prix)  Graham Hill (1962 Dutch Grand Prix)  Bruce McLaren (1962 Monaco Grand Prix)  Jim Clark (1962 Belgian Grand Prix)  Dan Gurney (1962 French Grand Prix)  Riccardo Patrese (1982 Monaco Grand Prix)  John Watson (1982 Detroit Grand Prix)  Nelson Piquet (1982 Canadian Grand Prix)  Didier Pironi (1982 Dutch Grand Prix)  Niki Lauda (1982 British Grand Prix)  René Arnoux (1982 French Grand Prix)  Patrick Tambay (1982 German Grand Prix)  Elio de Angelis (1982 Austrian Grand Prix)  Keke Rosberg (1982 Swiss Grand Prix),[135]
Most different race winners in consecutive races (starting from first race of the season),7 (2012),Jenson Button (2012 Australian Grand Prix)  Fernando Alonso (2012 Malaysian Grand Prix)  Nico Rosberg (2012 Chinese Grand Prix)  Sebastian Vettel (2012 Bahrain Grand Prix)  Pastor Maldonado (2012 Spanish Grand Prix)  Mark Webber (2012 Monaco Grand Prix)  Lewis Hamilton (2012 Canadian Grand Prix),[136]
Most wins at different circuits from first win without repeating,11,Lando Norris,[137]
Fewest wins in a World Championship-winning season,1,Mike Hawthorn (1958)  Keke Rosberg (1982),[138]
Most wins before first pole position,7,Jackie Stewart  Max Verstappen,[139]
Most wins without a pole position,4,Bruce McLaren  Eddie Irvine,[140]
Most wins without a win from pole position,8,Denny Hulme[N 18],[141]
Largest gap between first and second place in a race,"5 min, 12.75 sec",Stirling Moss and Mike Hawthorn (1958 Portuguese Grand Prix),[142]
Smallest gap between first and second place in a race,0.011 sec,Rubens Barrichello and Michael Schumacher (2002 United States Grand Prix),[143]
Most wins not starting from pole position,51,Michael Schumacher,[144]
Most wins not starting from pole position in a season,9,Max Verstappen (2022),[145]
Most consecutive wins from pole position,18,Max Verstappen (2022 Dutch Grand Prix – 2024 Saudi Arabian Grand Prix),[146]
Wins from most different grid slots,10,"Max Verstappen (starting positions: 1st, 2nd, 3rd, 4th, 6th, 7th, 9th, 10th, 14th, 17th)",[147]
Wins from most different grid slots in a season,7 (2022),"Max Verstappen (starting positions: 1st, 2nd, 3rd, 4th, 7th, 10th, 14th)",[145]
Most wins in one country in a season,3 (2023),"Max Verstappen (2023 Miami Grand Prix, 2023 United States Grand Prix, 2023 Las Vegas Grand Prix)",[148]
