Unnamed: 0,Driver,Season(s),Wins,Consecutive races won,Unnamed: 5
1,Max Verstappen,2023,10,2023 Miami Grand Prix – 2023 Italian Grand Prix,
2,Sebastian Vettel,2013,9,2013 Belgian Grand Prix – 2013 Brazilian Grand Prix,
2,Max Verstappen,2023–2024,9,2023 Japanese Grand Prix – 2024 Saudi Arabian Grand Prix,
4,Alberto Ascari,1952–1953,7,1952 Belgian Grand Prix – 1953 Argentine Grand Prix[N 5],
4,Michael Schumacher,2004,7,2004 European Grand Prix – 2004 Hungarian Grand Prix,
4,Nico Rosberg,2015–2016,7,2015 Mexican Grand Prix – 2016 Russian Grand Prix,
7,Michael Schumacher,2000–2001,6,2000 Italian Grand Prix – 2001 Malaysian Grand Prix,
8,Jack Brabham,1960,5,1960 Dutch Grand Prix – 1960 Portuguese Grand Prix,
8,Jim Clark,1965,5,1965 Belgian Grand Prix – 1965 German Grand Prix,
8,Nigel Mansell,1992,5,1992 South African Grand Prix – 1992 San Marino Grand Prix,
8,Michael Schumacher,2004,5,2004 Australian Grand Prix – 2004 Spanish Grand Prix,
8,Lewis Hamilton,2014,5,2014 Italian Grand Prix – 2014 United States Grand Prix,
8,Lewis Hamilton,2020,5,2020 Eifel Grand Prix – 2020 Bahrain Grand Prix,
8,Max Verstappen,2022,5,2022 French Grand Prix – 2022 Italian Grand Prix,
Source:[13],Source:[13],Source:[13],Source:[13],Source:[13],Source:[13]
