Unnamed: 0,Driver,Season,Wins,Races
1,Nigel Mansell,1992,5,1992 South African Grand Prix – 1992 San Marino Grand Prix
1,Michael Schumacher,2004,5,2004 Australian Grand Prix – 2004 Spanish Grand Prix
3,Ayrton Senna,1991,4,1991 United States Grand Prix – 1991 Monaco Grand Prix
3,Michael Schumacher,1994,4,1994 Brazilian Grand Prix – 1994 Monaco Grand Prix
3,Nico Rosberg,2016,4,2016 Australian Grand Prix – 2016 Russian Grand Prix
6,Damon Hill,1996,3,1996 Australian Grand Prix – 1996 Argentine Grand Prix
6,Michael Schumacher,2000,3,2000 Australian Grand Prix – 2000 San Marino Grand Prix
8,Juan Manuel Fangio,1957,2,1957 Argentine Grand Prix – 1957 Monaco Grand Prix
8,Jackie Stewart,1969,2,1969 South African Grand Prix – 1969 Spanish Grand Prix
8,Emerson Fittipaldi,1973,2,1973 Argentine Grand Prix – 1973 Brazilian Grand Prix
8,Niki Lauda,1976,2,1976 Brazilian Grand Prix – 1976 South African Grand Prix
8,Jacques Laffite,1979,2,1979 Argentine Grand Prix – 1979 Brazilian Grand Prix
8,Alain Prost,1982,2,1982 South African Grand Prix – 1982 Brazilian Grand Prix
8,Mika Häkkinen,1998,2,1998 Australian Grand Prix – 1998 Brazilian Grand Prix
8,Michael Schumacher,2001,2,2001 Australian Grand Prix – 2001 Malaysian Grand Prix
8,Jenson Button,2009,2,2009 Australian Grand Prix – 2009 Malaysian Grand Prix
8,Sebastian Vettel,2011,2,2011 Australian Grand Prix – 2011 Malaysian Grand Prix
8,Sebastian Vettel,2018,2,2018 Australian Grand Prix – 2018 Bahrain Grand Prix
8,Max Verstappen,2024,2,2024 Bahrain Grand Prix – 2024 Saudi Arabian Grand Prix
Source:[14],Source:[14],Source:[14],Source:[14],Source:[14]
