Unnamed: 0,Driver,Season,Wins,Races won
1,Jacques Villeneuve,1996,4,"1996 European Grand Prix, 1996 British Grand Prix, 1996 Hungarian Grand Prix, 1996 Portuguese Grand Prix"
1,Lewis Hamilton,2007,4,"2007 Canadian Grand Prix, 2007 United States Grand Prix, 2007 Hungarian Grand Prix, 2007 Japanese Grand Prix"
3,Juan Manuel Fangio[N 6],1950,3,"1950 Monaco Grand Prix, 1950 Belgian Grand Prix, 1950 French Grand Prix"
3,Giuseppe Farina[N 7],1950,3,"1950 British Grand Prix, 1950 Swiss Grand Prix, 1950 Italian Grand Prix"
5,Johnnie Parsons,1950,1,1950 Indianapolis 500[N 1]
5,Giancarlo Baghetti,1961,1,1961 French Grand Prix
5,Jackie Stewart,1965,1,1965 Italian Grand Prix
5,Clay Regazzoni,1970,1,1970 Italian Grand Prix
5,Emerson Fittipaldi,1970,1,1970 United States Grand Prix
5,Juan Pablo Montoya,2001,1,2001 Italian Grand Prix
Sources:[15][16],Sources:[15][16],Sources:[15][16],Sources:[15][16],Sources:[15][16]
