Unnamed: 0,Driver,Age,Race
1,Max Verstappen,"18 years, 228 days",2016 Spanish Grand Prix
2,Sebastian Vettel,"21 years, 73 days",2008 Italian Grand Prix
3,Charles Leclerc,"21 years, 320 days",2019 Belgian Grand Prix
4,Fernando Alonso,"22 years, 26 days",2003 Hungarian Grand Prix
5,Troy Ruttman,"22 years, 80 days",1952 Indianapolis 500[N 1]
6,Bruce McLaren,"22 years, 104 days",1959 United States Grand Prix
7,Lewis Hamilton,"22 years, 154 days",2007 Canadian Grand Prix
8,Oscar Piastri,"23 years, 106 days",2024 Hungarian Grand Prix
9,Kimi Räikkönen,"23 years, 157 days",2003 Malaysian Grand Prix
10,Robert Kubica,"23 years, 184 days",2008 Canadian Grand Prix
Sources:[17][18],Sources:[17][18],Sources:[17][18],Sources:[17][18]
