Unnamed: 0,Driver,Start position,Race
1,John Watson,22nd,1983 United States Grand Prix West
2,Bill Vukovich,19th,1954 Indianapolis 500[N 1]
3,Rubens Barrichello,18th,2000 German Grand Prix
4,John Watson,17th,1982 Detroit Grand Prix
4,Kimi Räikkönen,17th,2005 Japanese Grand Prix
4,Max Verstappen,17th,2024 São Paulo Grand Prix
7,Jackie Stewart,16th,1973 South African Grand Prix
7,Michael Schumacher,16th,1995 Belgian Grand Prix
9,Fernando Alonso,15th,2008 Singapore Grand Prix[N 9]
10,Bob Sweikert,14th,1955 Indianapolis 500[N 1]
10,Alan Jones,14th,1977 Austrian Grand Prix
10,Olivier Panis,14th,1996 Monaco Grand Prix
10,Johnny Herbert,14th,1999 European Grand Prix
10,Jenson Button,14th,2006 Hungarian Grand Prix
10,Lewis Hamilton,14th,2018 German Grand Prix
10,Max Verstappen,14th,2022 Belgian Grand Prix
Sources:[23][24],Sources:[23][24],Sources:[23][24],Sources:[23][24]
