Unnamed: 0,Driver,Seasons,Entries,Starts,Wins
1,Stirling Moss,1951–1961,67,66,16
2,David Coulthard,1994–2008,247,246,13
3,Carlos Reutemann,1972–1982,146,146,12
4,Rubens Barrichello,1993–2011,326,322,11
4,Felipe Massa,2002–2017,272,269,11
6,Ronnie Peterson,1970–1978,123,123,10
6,Gerhard Berger,1984–1997,210,210,10
6,Valtteri Bottas,2013–2024,247,246,10
9,Mark Webber,2002–2013,217,215,9
9,Oscar Piastri,2023–2025,70,70,9
Sources:[27][28],Sources:[27][28],Sources:[27][28],Sources:[27][28],Sources:[27][28],Sources:[27][28]
