Unnamed: 0,Driver,Fastest laps,Grand Prix,Seasons
1,Nigel Mansell,7,British Grand Prix,"1986, 1987, 1988, 1989, 1990, 1991, 1992"
2,David Coulthard,5,French Grand Prix,"1998, 1999, 2000, 2001, 2002"
3,Stirling Moss,4,British Grand Prix,"1954, 1955, 1956, 1957"
4,Alberto Ascari,3,British Grand Prix,"1952, 1953, 1954"
4,Juan Manuel Fangio,3,Monaco Grand Prix,"1955, 1956, 1957"
4,Phil Hill,3,Italian Grand Prix,"1958, 1959, 1960"
4,Jim Clark,3,Dutch Grand Prix,"1963, 1964, 1965"
4,Jim Clark,3,United States Grand Prix,"1962, 1963, 1964"
4,Alain Prost,3,Belgian Grand Prix,"1985, 1986, 1987"
4,Gerhard Berger,3,Portuguese Grand Prix,"1987, 1988, 1989"
4,Nigel Mansell,3,French Grand Prix,"1990, 1991, 1992"
4,Damon Hill,3,British Grand Prix,"1993, 1994, 1995"
4,Michael Schumacher,3,Brazilian Grand Prix,"1993, 1994, 1995"
4,Michael Schumacher,3,Canadian Grand Prix,"1993, 1994, 1995"
4,Michael Schumacher,3,San Marino Grand Prix,"2003, 2004, 2005"
4,Michael Schumacher,3,Monaco Grand Prix,"2004, 2005, 2006"
4,Mika Häkkinen,3,Monaco Grand Prix,"1998, 1999, 2000"
4,Sebastian Vettel,3,United States Grand Prix,"2012, 2013, 2014"
4,Lewis Hamilton,3,Italian Grand Prix,"2013, 2014, 2015"
4,Lewis Hamilton,3,Italian Grand Prix,"2018, 2019, 2020"
4,Max Verstappen,3,Austrian Grand Prix,"2021, 2022, 2023"
Source:[49],Source:[49],Source:[49],Source:[49],Source:[49]
