Unnamed: 0,Driver,Season,Podiums,Races
1,Michael Schumacher,2002,17,Australian – Japanese
2,Max Verstappen,2023,14,Bahrain – Italian
3,Fernando Alonso,2006,9,Bahrain – Canadian
3,Lewis Hamilton,2007,9,Australian – British
3,Lewis Hamilton,2015,9,Australian – British
3,Sebastian Vettel,2011,9,Australian – British
3,Nico Rosberg,2015,9,Australian – British
8,Nico Rosberg,2014,8,Australian – Austrian
8,Lewis Hamilton,2019,8,Australian – French
10,Niki Lauda,1976,7,Brazilian – Swedish
10,Alain Prost,1988,7,Brazilian – French
10,Michael Schumacher,1994,7,Brazilian – French
10,Jenson Button,2009,7,Australian – Turkish
Source:[54],Source:[54],Source:[54],Source:[54],Source:[54]
