Unnamed: 0,Driver,Age,Place,Race
1,Max Verstappen,"18 years, 228 days",1st,2016 Spanish Grand Prix
2,Lance Stroll,"18 years, 239 days",3rd,2017 Azerbaijan Grand Prix
3,Kimi Antonelli,"18 years, 294 days",3rd,2025 Canadian Grand Prix
4,Lando Norris,"20 years, 235 days",3rd,2020 Austrian Grand Prix
5,Isack Hadjar,"20 years, 338 days",3rd,2025 Dutch Grand Prix
6,Sebastian Vettel,"21 years, 73 days",1st,2008 Italian Grand Prix
7,Daniil Kvyat,"21 years, 91 days",2nd,2015 Hungarian Grand Prix
8,Kevin Magnussen,"21 years, 162 days",2nd,2014 Australian Grand Prix
9,Charles Leclerc,"21 years, 166 days",3rd,2019 Bahrain Grand Prix
10,Fernando Alonso,"21 years, 237 days",3rd,2003 Malaysian Grand Prix
Source:[55],Source:[55],Source:[55],Source:[55],Source:[55]
