Unnamed: 0,Driver,Points finishes,Races
1,Lewis Hamilton,48,2018 British Grand Prix – 2020 Bahrain Grand Prix
2,Max Verstappen,43,2022 Emilia Romagna Grand Prix – 2024 Saudi Arabian Grand Prix
3,Oscar Piastri,34,2024 Emilia Romagna Grand Prix – 2025 Italian Grand Prix
4,Lewis Hamilton,33,2016 Japanese Grand Prix – 2018 French Grand Prix
5,Max Verstappen,31,2024 Japanese Grand Prix – 2025 Canadian Grand Prix
6,Kimi Räikkönen,27,2012 Bahrain Grand Prix – 2013 Hungarian Grand Prix
7,Michael Schumacher,24,2001 Hungarian Grand Prix – 2003 Malaysian Grand Prix
8,Fernando Alonso,23,2011 European Grand Prix – 2012 Hungarian Grand Prix
9,Valtteri Bottas,22,2018 British Grand Prix – 2019 British Grand Prix
9,Lando Norris,22,2024 British Grand Prix – 2025 Spanish Grand Prix
Source:[68],Source:[68],Source:[68],Source:[68]
