Unnamed: 0,Driver,Points scored,Races
1,Max Verstappen,1055[N 11],2022 Emilia Romagna Grand Prix – 2024 Saudi Arabian Grand Prix
2,Lewis Hamilton,1008[N 12],2018 British Grand Prix – 2020 Bahrain Grand Prix
3,Lewis Hamilton,623,2016 Japanese Grand Prix – 2018 French Grand Prix
4,Oscar Piastri,575[N 11],2024 Emilia Romagna Grand Prix – 2025 Italian Grand Prix
5,Max Verstappen,541[N 11],2024 Japanese Grand Prix – 2025 Canadian Grand Prix
6,Sebastian Vettel,424,2010 Brazilian Grand Prix – 2011 Indian Grand Prix
7,Lewis Hamilton,420,2014 Italian Grand Prix – 2015 Italian Grand Prix
8,Lando Norris,394[N 11],2024 British Grand Prix – 2025 Spanish Grand Prix
9,Valtteri Bottas,338,2018 British Grand Prix – 2019 British Grand Prix
10,Fernando Alonso,334,2011 European Grand Prix – 2012 Hungarian Grand Prix
Sources:[69][70][71],Sources:[69][70][71],Sources:[69][70][71],Sources:[69][70][71]
