Unnamed: 0,Driver,Age,Place,Race,Unnamed: 5
1,Max Verstappen,"17 years, 180 days",7th,2015 Malaysian Grand Prix,
2,Kimi Antonelli,"18 years, 203 days",4th,2025 Australian Grand Prix,
3,Lance Stroll,"18 years, 225 days",9th,2017 Canadian Grand Prix,
4,Oliver Bearman,"18 years, 305 days",7th,2024 Saudi Arabian Grand Prix,
5,Lando Norris,"19 years, 138 days",6th,2019 Bahrain Grand Prix,
6,Daniil Kvyat,"19 years, 324 days",9th,2014 Australian Grand Prix,
7,Sebastian Vettel,"19 years, 349 days",8th,2007 United States Grand Prix,
8,Jaime Alguersuari,"20 years, 12 days",9th,2010 Malaysian Grand Prix,
9,Jenson Button,"20 years, 67 days",6th,2000 Brazilian Grand Prix,
10,Ricardo Rodríguez,"20 years, 123 days",4th,1962 Belgian Grand Prix,
Sources:[3][72],Sources:[3][72],Sources:[3][72],Sources:[3][72],Sources:[3][72],Sources:[3][72]
