Unnamed: 0,Driver,Season,Total laps,Laps led,Percentage
1,Max Verstappen,2023,1325,1003,75.70%
2,Sebastian Vettel,2011,1133,739,65.23%
3,Nigel Mansell,1992,1036,694,66.99%
4,Sebastian Vettel,2013,1131,684,60.48%
5,Michael Schumacher,2004,1122,683,60.87%
6,Max Verstappen,2021,1297,652,50.27%
7,Michael Schumacher,1994,1046,646,61.76%
8,Max Verstappen,2022,1294,616,47.60%
9,Lewis Hamilton,2020,1037,613,59.11%
10,Lewis Hamilton,2015,1149,587,51.09%
Source:[89],Source:[89],Source:[89],Source:[89],Source:[89],Source:[89]
