Unnamed: 0,Driver,Titles,Seasons
1,Michael Schumacher,5,"2000, 2001, 2002, 2003, 2004"
2,Juan Manuel Fangio,4,"1954, 1955, 1956, 1957"
2,Sebastian Vettel,4,"2010, 2011, 2012, 2013"
2,Lewis Hamilton,4,"2017, 2018, 2019, 2020"
2,Max Verstappen,4,"2021, 2022, 2023, 2024"
6,Alberto Ascari,2,"1952, 1953"
6,Jack Brabham,2,"1959, 1960"
6,Alain Prost,2,"1985, 1986"
6,Ayrton Senna,2,"1990, 1991"
6,Michael Schumacher,2,"1994, 1995"
6,Mika Häkkinen,2,"1998, 1999"
6,Fernando Alonso,2,"2005, 2006"
6,Lewis Hamilton,2,"2014, 2015"
Source:[99],Source:[99],Source:[99],Source:[99]
