Rank,Country,Wins,Driver(s),No. of drivers
1,United Kingdom,325,"Lewis Hamilton (105), Nigel Mansell (31), Jackie Stewart (27), Jim Clark (25), Damon Hill (22), Stirling Moss (16), Jenson Button (15), Graham Hill (14), David Coulthard (13), Lando Norris (11), James Hunt (10), Tony Brooks (6), John Surtees (6), John Watson (5), George Russell (5), Eddie Irvine (4), Mike Hawthorn (3), Peter Collins (3), Johnny Herbert (3), Innes Ireland (1), Peter Gethin (1)",21
2,Germany,179,"Michael Schumacher (91), Sebastian Vettel (53), Nico Rosberg (23), Ralf Schumacher (6), Heinz-Harald Frentzen (3), Wolfgang von Trips (2), Jochen Mass (1)",7
3,Brazil,101,"Ayrton Senna (41), Nelson Piquet (23), Emerson Fittipaldi (14), Rubens Barrichello (11), Felipe Massa (11), Carlos Pace (1)",6
4,France,81,"Alain Prost (51), René Arnoux (7), Jacques Laffite (6), Didier Pironi (3), Maurice Trintignant (2), Patrick Depailler (2), Jean-Pierre Jabouille (2), Patrick Tambay (2), François Cevert (1), Jean-Pierre Beltoise (1), Jean Alesi (1), Olivier Panis (1), Pierre Gasly (1), Esteban Ocon (1)",14
5,Netherlands,71,Max Verstappen (71),1
6,Finland,57,"Kimi Räikkönen (21), Mika Häkkinen (20), Valtteri Bottas (10), Keke Rosberg (5), Heikki Kovalainen (1)",5
7,Australia,52,"Jack Brabham (14), Alan Jones (12), Oscar Piastri (9), Mark Webber (9), Daniel Ricciardo (8)",5
8,Italy,43,"Alberto Ascari (13), Riccardo Patrese (6), Giuseppe Farina (5), Michele Alboreto (5), Giancarlo Fisichella (3), Elio de Angelis (2), Luigi Fagioli (1), Piero Taruffi (1), Luigi Musso (1), Giancarlo Baghetti (1), Lorenzo Bandini (1), Ludovico Scarfiotti (1), Vittorio Brambilla (1), Alessandro Nannini (1), Jarno Trulli (1)",15
9,Austria,41,"Niki Lauda (25), Gerhard Berger (10), Jochen Rindt (6)",3
10,Argentina,38,"Juan Manuel Fangio (24), Carlos Reutemann (12), José Froilán González (2)",3
11,Spain,36,"Fernando Alonso (32), Carlos Sainz Jr. (4)",2
12,United States,33,"Mario Andretti (12), Dan Gurney (4), Phil Hill (3), Bill Vukovich (2), Peter Revson (2), Johnnie Parsons (1), Lee Wallard (1), Troy Ruttman (1), Bob Sweikert (1), Pat Flaherty (1), Sam Hanks (1), Jimmy Bryan (1), Rodger Ward (1), Jim Rathmann (1), Richie Ginther (1)",15
13,Canada,17,"Jacques Villeneuve (11), Gilles Villeneuve (6)",2
14,New Zealand,12,"Denny Hulme (8), Bruce McLaren (4)",2
14,Sweden,12,"Ronnie Peterson (10), Jo Bonnier (1), Gunnar Nilsson (1)",3
16,Belgium,11,"Jacky Ickx (8), Thierry Boutsen (3)",2
17,South Africa,10,Jody Scheckter (10),1
18,Mexico,8,"Sergio Pérez (6), Pedro Rodríguez (2)",2
18,Monaco,8,Charles Leclerc (8),1
20,Switzerland,7,"Clay Regazzoni (5), Jo Siffert (2)",2
20,Colombia,7,Juan Pablo Montoya (7),1
22,Poland,1,Robert Kubica (1),1
22,Venezuela,1,Pastor Maldonado (1),1
