Driver,Win count,Achieved at
Giuseppe Farina,1,1950 British Grand Prix
Juan Manuel Fangio,1,1950 Monaco Grand Prix
Johnnie Parsons,1,1950 Indianapolis 500
Giuseppe Farina,2,1950 Swiss Grand Prix
Juan Manuel Fangio,2–3,1950 Belgian Grand Prix
Giuseppe Farina,3,1950 Italian Grand Prix
Juan Manuel Fangio,4,1951 Swiss Grand Prix
Giuseppe Farina,4,1951 Belgian Grand Prix
Juan Manuel Fangio,5–6,1951 French Grand Prix
Alberto Ascari,6–13,1952 German Grand Prix
Juan Manuel Fangio,13–24,1954 Italian Grand Prix
Jim Clark,24–25,1967 Mexican Grand Prix
Jackie Stewart,25–27,1973 Monaco Grand Prix
Alain Prost,27–51,1987 Belgian Grand Prix
Michael Schumacher,51–91,2001 Hungarian Grand Prix
Lewis Hamilton,91–105,2020 Eifel Grand Prix
