Rank,Constructor,Licensed in,Wins,Years active,First win,Last win
1,Ferrari†,Italy,248,1950–,1951 British Grand Prix,2024 Mexico City Grand Prix
2,McLaren†,United Kingdom,203,1966–,1968 Belgian Grand Prix,2025 São Paulo Grand Prix
3,Mercedes†,Germany,131,"1954–1955, 2010–",1954 French Grand Prix,2025 Singapore Grand Prix
4,Red Bull Racing†[a],Austria,130,2005–,2009 Chinese Grand Prix,2025 Abu Dhabi Grand Prix
5,Williams†,United Kingdom,114,1978–,1979 British Grand Prix,2012 Spanish Grand Prix
6,Team Lotus‡,United Kingdom,79,1958–1994,1960 Monaco Grand Prix,1987 Detroit Grand Prix
7,Brabham‡,United Kingdom,35,"1962–1987, 1989–1992",1964 French Grand Prix,1985 French Grand Prix
7,Renault‡[a],France,35,"1977–1985, 2002–2011, 2016–2020",1979 French Grand Prix,2008 Japanese Grand Prix
9,Benetton‡,United Kingdom  Italy[b],27,1986–2001,1986 Mexican Grand Prix,1997 German Grand Prix
10,Tyrrell‡,United Kingdom,23,1970–1998,1971 Spanish Grand Prix,1983 Detroit Grand Prix
11,BRM‡,United Kingdom,17,"1951, 1956–1977",1959 Dutch Grand Prix,1972 Monaco Grand Prix
12,Cooper‡,United Kingdom,16,"1950, 1952–1969",1958 Argentine Grand Prix,1967 South African Grand Prix
13,Alfa Romeo[a],Italy,10,"1950–1951, 1979–1985, 2019–2023",1950 British Grand Prix,1951 Spanish Grand Prix
14,Maserati,Italy,9,1950–1960,1953 Italian Grand Prix,1957 German Grand Prix
14,Vanwall‡,United Kingdom,9,1954–1960,1957 British Grand Prix,1958 Moroccan Grand Prix
14,Matra‡,France,9,1967–1972,1968 Dutch Grand Prix,1969 Italian Grand Prix
14,Ligier/Talbot Ligier[c][5],France,9,1976–1996,1977 Swedish Grand Prix,1996 Monaco Grand Prix
18,Brawn‡,United Kingdom,8,2009,2009 Australian Grand Prix,2009 Italian Grand Prix
19,Kurtis Kraft,United States,5,1950–1960,1950 Indianapolis 500,1955 Indianapolis 500
20,Jordan,Ireland,4,1991–2005,1998 Belgian Grand Prix,2003 Brazilian Grand Prix
21,Watson,United States,3,"1950–1953, 1956–1960",1956 Indianapolis 500,1960 Indianapolis 500
21,March,United Kingdom,3,"1970–1977, 1981–1982, 1987–1989, 1992",1970 Spanish Grand Prix,1976 Italian Grand Prix
21,Wolf,Canada,3,1977–1979,1977 Argentine Grand Prix,1977 Canadian Grand Prix
21,Honda,Japan,3,"1964–1968, 2006–2008",1965 Mexican Grand Prix,2006 Hungarian Grand Prix
25,Salih,United States,2,1957–1960,1957 Indianapolis 500,1958 Indianapolis 500
25,Lotus F1,United Kingdom,2,2012–2015,2012 Abu Dhabi Grand Prix,2013 Australian Grand Prix
27,Kuzma,United States,1,1951–1960,1952 Indianapolis 500,1952 Indianapolis 500
27,Porsche,Germany,1,1957–1964,1962 French Grand Prix,1962 French Grand Prix
27,Eagle,United States,1,1966–1969,1967 Belgian Grand Prix,1967 Belgian Grand Prix
27,Hesketh,United Kingdom,1,1974–1978,1975 Dutch Grand Prix,1975 Dutch Grand Prix
27,Penske,United States,1,1974–1977,1976 Austrian Grand Prix,1976 Austrian Grand Prix
27,Shadow[a][6],United Kingdom,1,1973–1980,1977 Austrian Grand Prix,1977 Austrian Grand Prix
27,Stewart,United Kingdom,1,1997–1999,1999 European Grand Prix,1999 European Grand Prix
27,BMW Sauber*[a][d],Germany,1,"1993–2018, 2024-2025",2008 Canadian Grand Prix,2008 Canadian Grand Prix
27,Toro Rosso,Italy,1,2006–2019,2008 Italian Grand Prix,2008 Italian Grand Prix
27,AlphaTauri,Italy,1,2020–2023,2020 Italian Grand Prix,2020 Italian Grand Prix
27,Racing Point,United Kingdom,1,2019–2020,2020 Sakhir Grand Prix,2020 Sakhir Grand Prix
27,Alpine*,France,1,2021–,2021 Hungarian Grand Prix,2021 Hungarian Grand Prix
