Race title,Country,Years held,Circuits,Total
70th Anniversary Grand Prix[b],United Kingdom,2020,1.0,1.0
Abu Dhabi Grand Prix*[c],United Arab Emirates,2009–2025,1.0,17.0
Argentine Grand Prix,Argentina,"1953–1958, 1960, 1972–1975, 1977–1981, 1995–1998[d]",1.0,20.0
Australian Grand Prix*,Australia,"1985–2019, 2022–2025",2.0,39.0
Austrian Grand Prix*,Austria,"1964, 1970–1987, 1997–2003, 2014–2025",2.0,38.0
Azerbaijan Grand Prix*,Azerbaijan,"2017–2019, 2021–2025",1.0,8.0
Bahrain Grand Prix*,Bahrain,"2004–2010,[e] 2012–2025",1.0,21.0
Barcelona-Catalunya Grand Prix*[f],Spain,,,
Belgian Grand Prix*,Belgium,"1950–1956, 1958, 1960–1968, 1970, 1972–2002, 2004–2005, 2007–2025",3.0,70.0
Brazilian Grand Prix,Brazil,1973–2019,2.0,47.0
British Grand Prix*,United Kingdom,1950–2025,3.0,76.0
Caesars Palace Grand Prix[g],United States,1981–1982,1.0,2.0
Canadian Grand Prix*,Canada,"1967–1974, 1976–1986, 1988–2008, 2010–2019, 2022–2025",3.0,54.0
Chinese Grand Prix*,China,"2004–2019, 2024–2025",1.0,18.0
Dallas Grand Prix[h],United States,1984,1.0,1.0
Detroit Grand Prix[i],United States,1982–1988,1.0,7.0
Dutch Grand Prix*,Netherlands,"1952–1953, 1955, 1958–1971, 1973–1985, 2021–2025",1.0,35.0
Eifel Grand Prix[j],Germany,2020,1.0,1.0
Emilia Romagna Grand Prix[k],Italy,"2020–2022, 2024–2025",1.0,5.0
European Grand Prix[l],United Kingdom  Germany  Spain  Azerbaijan,"1983–1985, 1993–1997, 1999–2012, 2016",6.0,23.0
French Grand Prix,France,"1950–1954, 1956–2008, 2018–2019, 2021–2022",7.0,62.0
German Grand Prix,Germany,"1951–1954, 1956–1959, 1961–2006, 2008–2014, 2016, 2018–2019",3.0,64.0
Hungarian Grand Prix*,Hungary,1986–2025,1.0,40.0
Indian Grand Prix,India,2011–2013,1.0,3.0
Indianapolis 500[m],United States,1950–1960,1.0,11.0
Italian Grand Prix*,Italy,1950–2025,2.0,76.0
Japanese Grand Prix*,Japan,"1976–1977, 1987–2019, 2022–2025",2.0,39.0
Korean Grand Prix,South Korea,2010–2013,1.0,4.0
Las Vegas Grand Prix*[n],United States,2023–2025,1.0,3.0
Luxembourg Grand Prix[o],Germany,1997–1998,1.0,2.0
Malaysian Grand Prix,Malaysia,1999–2017,1.0,19.0
Mexican Grand Prix,Mexico,"1963–1970, 1986–1992, 2015–2019",1.0,20.0
Mexico City Grand Prix*[p],Mexico,2021–2025,1.0,5.0
Miami Grand Prix*[q],United States,2022–2025,1.0,4.0
Monaco Grand Prix*,Monaco,"1950, 1955–2019, 2021–2025",1.0,71.0
Moroccan Grand Prix,Morocco,1958,1.0,1.0
Pacific Grand Prix[r],Japan,1994–1995,1.0,2.0
Pescara Grand Prix[s],Italy,1957,1.0,1.0
Portuguese Grand Prix‡,Portugal,"1958–1960, 1984–1996, 2020–2021",4.0,18.0
Qatar Grand Prix*,Qatar,"2021, 2023–2025",1.0,4.0
Russian Grand Prix,Russia,2014–2021,1.0,8.0
Sakhir Grand Prix[t],Bahrain,2020,1.0,1.0
San Marino Grand Prix[u],Italy,1981–2006,1.0,26.0
São Paulo Grand Prix*[v],Brazil,2021–2025,1.0,5.0
Saudi Arabian Grand Prix*,Saudi Arabia,2021–2025,1.0,5.0
Singapore Grand Prix*,Singapore,"2008–2019, 2022–2025",1.0,16.0
South African Grand Prix,South Africa,"1962–1963, 1965, 1967–1980,[w] 1982–1985, 1992–1993",2.0,23.0
Spanish Grand Prix*,Spain,"1951, 1954, 1968–1979,[x] 1981, 1986–2025",5.0,55.0
Styrian Grand Prix[y],Austria,2020–2021,1.0,2.0
Swedish Grand Prix,Sweden,1973–1978[z],1.0,6.0
Swiss Grand Prix,Switzerland  France,"1950–1954, 1982[aa]",2.0,6.0
Turkish Grand Prix,Turkey,"2005–2011, 2020–2021",1.0,9.0
Tuscan Grand Prix[ab],Italy,2020,1.0,1.0
United States Grand Prix*,United States,"1959–1980, 1989–1991, 2000–2007, 2012–2019, 2021–2025",6.0,46.0
United States Grand Prix West,United States,1976–1983,1.0,8.0
