Country,Races held,Total,Circuits
Argentina,"Argentine Grand Prix (1953–1958, 1960, 1972–1975, 1977–1981, 1995–1998)",20,1
Australia*,"Australian Grand Prix (1985–2019, 2022–2025)*",39,2
Austria*,"Austrian Grand Prix: 38 (1964, 1970–1987, 1997–2003, 2014–2025)* Styrian Grand Prix: 2 (2020–2021)",40,2
Azerbaijan*,"European Grand Prix: 1 (2016) Azerbaijan Grand Prix: 8 (2017–2019, 2021–2025)*",9,1
Bahrain*,"Bahrain Grand Prix: 21 (2004–2010, 2012–2025)* Sakhir Grand Prix: 1 (2020)",22,1
Belgium*,"Belgian Grand Prix (1950–1956, 1958, 1960–1968, 1970, 1972–2002, 2004–2005, 2007–2025)*",70,3
Brazil*,Brazilian Grand Prix: 47 (1973–2019) São Paulo Grand Prix: 5 (2021–2025)*,52,2
Canada*,"Canadian Grand Prix (1967–1974, 1976–1986, 1988–2008, 2010–2019, 2022–2025)*",54,3
China*,"Chinese Grand Prix (2004–2019, 2024–2025)*",18,1
France,"French Grand Prix: 62 (1950–1954, 1956–2008, 2018–2019, 2021–2022) Swiss Grand Prix: 1 (1982)",63,7
Germany,"German Grand Prix: 64 (1951–1954, 1956–1959, 1961–2006, 2008–2014, 2016, 2018–2019) European Grand Prix: 12 (1984, 1995–1996, 1999–2007) Luxembourg Grand Prix: 2 (1997–1998) Eifel Grand Prix: 1 (2020)",79,3
Hungary*,Hungarian Grand Prix (1986–2025)*,40,1
India,Indian Grand Prix (2011–2013),3,1
Italy*,"Italian Grand Prix: 76 (1950–2025)* Pescara Grand Prix: 1 (1957) San Marino Grand Prix: 26 (1981–2006) Tuscan Grand Prix: 1 (2020) Emilia Romagna Grand Prix: 5 (2020–2022, 2024–2025)",109,4
Japan*,"Japanese Grand Prix, 39 (1976–1977, 1987–2019, 2022–2025)* Pacific Grand Prix: 2 (1994–1995)",41,3
Malaysia,Malaysian Grand Prix (1999–2017),19,1
Mexico*,"Mexican Grand Prix: 20 (1963–1970, 1986–1992, 2015–2019) Mexico City Grand Prix: 5 (2021–2025)*",25,1
Monaco*,"Monaco Grand Prix (1950, 1955–2019, 2021–2025)*",71,1
Morocco,Moroccan Grand Prix (1958),1,1
Netherlands*,"Dutch Grand Prix (1952–1953, 1955, 1958–1971, 1973–1985, 2021–2025)*",35,1
Portugal‡,"Portuguese Grand Prix (1958–1960, 1984–1996, 2020–2021)‡",18,4
Qatar*,"Qatar Grand Prix (2021, 2023–2025)*",4,1
Russia,Russian Grand Prix (2014–2021),8,1
Saudi Arabia*,Saudi Arabian Grand Prix (2021–2025)*,5,1
Singapore*,"Singapore Grand Prix (2008–2019, 2022–2025)*",16,1
South Africa,"South African Grand Prix (1962–1963, 1965, 1967–1980, 1982–1985, 1992–1993)",23,2
South Korea,Korean Grand Prix (2010–2013),4,1
Spain*,"Spanish Grand Prix: 55 (1951, 1954, 1968–1979, 1981, 1986–2025)* European Grand Prix: 7 (1994, 1997, 2008–2012) Barcelona-Catalunya Grand Prix: 0*",62,6
Sweden,Swedish Grand Prix (1973–1978),6,1
Switzerland,Swiss Grand Prix (1950–1954),5,1
Turkey,"Turkish Grand Prix (2005–2011, 2020–2021)",9,1
United Arab Emirates*,Abu Dhabi Grand Prix (2009–2025)*,17,1
United Kingdom*,"British Grand Prix, 76 (1950–2025)* European Grand Prix, 3 (1983, 1985, 1993) 70th Anniversary Grand Prix, 1 (2020)",80,4
United States*,"Indianapolis 500, 11 (1950–1960) United States Grand Prix, 46 (1959–1980, 1989–1991, 2000–2007, 2012–2019, 2021–2025)* United States Grand Prix West, 8 (1976–1983) Caesars Palace Grand Prix, 2 (1981–1982) Detroit Grand Prix, 7 (1982–1988) Dallas Grand Prix, 1 (1984) Miami Grand Prix, 4 (2022–2025)* Las Vegas Grand Prix, 3 (2023–2025)*",82,12
