Racing track,Races held,Total,Contracted until[50]
Adelaide,Australian Grand Prix (1985–1995),11.0,
Aida,Pacific Grand Prix (1994–1995),2.0,
Ain-Diab (Casablanca),Moroccan Grand Prix (1958),1.0,
Aintree,"British Grand Prix (1955, 1957, 1959, 1961–1962)",5.0,
Albert Park (Melbourne)*,"Australian Grand Prix (1996–2019, 2022–2025)*",28.0,2037
Algarve‡,Portuguese Grand Prix (2020–2021)‡,2.0,2028
Anderstorp,Swedish Grand Prix (1973–1978),6.0,
Austin*,"United States Grand Prix (2012–2019, 2021–2025)*",13.0,2034
AVUS (Berlin),German Grand Prix (1959),1.0,
Baku*,"European Grand Prix, 1 (2016) Azerbaijan Grand Prix, 8 (2017–2019, 2021–2025)*",9.0,2030
Boavista (Porto),"Portuguese Grand Prix (1958, 1960)",2.0,
Brands Hatch,"British Grand Prix, 12 (1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986) European Grand Prix, 2 (1983, 1985)",14.0,
Bremgarten (Bern),Swiss Grand Prix (1950–1954),5.0,
Caesars Palace (Las Vegas),Caesars Palace Grand Prix (1981–1982),2.0,
Catalunya (Barcelona)*,Spanish Grand Prix (1991–2025) Barcelona-Catalunya Grand Prix*,35.0,2026
Charade (Clermont-Ferrand),"French Grand Prix (1965, 1969, 1970, 1972)",4.0,
Dallas,Dallas Grand Prix (1984),1.0,
Detroit,Detroit Grand Prix (1982–1988),7.0,
Dijon-Prenois,"French Grand Prix, 5 (1974, 1977, 1979, 1981, 1984) Swiss Grand Prix, 1 (1982)",6.0,
Donington,European Grand Prix (1993),1.0,
East London,"South African Grand Prix (1962–1963, 1965)",3.0,
Estoril,Portuguese Grand Prix (1984–1996),13.0,
Fuji,"Japanese Grand Prix (1976–1977, 2007–2008)",4.0,
Greater Noida,Indian Grand Prix (2011–2013),3.0,
Hermanos Rodríguez (Mexico City)*,"Mexican Grand Prix, 20 (1963–1970, 1986–1992, 2015–2019) Mexico City Grand Prix, 5 (2021–2025)*",25.0,2028
Hockenheim,"German Grand Prix (1970, 1977–1984, 1986–2006, 2008, 2010, 2012, 2014, 2016, 2018–2019)",37.0,
Hungaroring (Budapest)*,Hungarian Grand Prix (1986–2025)*,40.0,2032
