vte« previous Formula One Grands Prix (1980–1989) next »,vte« previous Formula One Grands Prix (1980–1989) next ».1
1980,ARG BRA RSA USW BEL MON FRA GBR GER AUT NED ITA CAN USA
1981,USW BRA ARG SMR BEL MON ESP FRA GBR GER AUT NED ITA CAN CPL
1982,RSA BRA USW SMR BEL MON DET CAN NED GBR FRA GER AUT SUI ITA CPL
1983,BRA USW FRA SMR MON BEL DET CAN GBR GER AUT NED ITA EUR RSA
1984,BRA RSA BEL SMR FRA MON CAN DET DAL GBR GER AUT NED ITA EUR POR
1985,BRA POR SMR MON CAN DET FRA GBR GER AUT NED ITA BEL EUR RSA AUS
1986,BRA ESP SMR MON BEL CAN DET FRA GBR GER HUN AUT ITA POR MEX AUS
1987,BRA SMR BEL MON DET FRA GBR GER HUN AUT ITA POR ESP MEX JPN AUS
1988,BRA SMR MON MEX CAN DET FRA GBR GER HUN BEL ITA POR ESP JPN AUS
1989,BRA SMR MON MEX USA CAN FRA GBR GER HUN BEL ITA POR ESP JPN AUS
