vte« previous Formula One Grands Prix (2010–2019)next »,vte« previous Formula One Grands Prix (2010–2019)next ».1
2010,BHR AUS MAL CHN ESP MON TUR CAN EUR GBR GER HUN BEL ITA SIN JPN KOR BRA ABU
2011,BHR AUS MAL CHN TUR ESP MON CAN EUR GBR GER HUN BEL ITA SIN JPN KOR IND ABU BRA
2012,AUS MAL CHN BHR ESP MON CAN EUR GBR GER HUN BEL ITA SIN JPN KOR IND ABU USA BRA
2013,AUS MAL CHN BHR ESP MON CAN GBR GER HUN BEL ITA SIN KOR JPN IND ABU USA BRA
2014,AUS MAL BHR CHN ESP MON CAN AUT GBR GER HUN BEL ITA SIN JPN RUS USA BRA ABU
2015,AUS MAL CHN BHR ESP MON CAN AUT GBR HUN BEL ITA SIN JPN RUS USA MEX BRA ABU
2016,AUS BHR CHN RUS ESP MON CAN EUR AUT GBR HUN GER BEL ITA SIN MAL JPN USA MEX BRA ABU
2017,AUS CHN BHR RUS ESP MON CAN AZE AUT GBR HUN BEL ITA SIN MAL JPN USA MEX BRA ABU
2018,AUS BHR CHN AZE ESP MON CAN FRA AUT GBR GER HUN BEL ITA SIN RUS JPN USA MEX BRA ABU
2019,AUS BHR CHN AZE ESP MON CAN FRA AUT GBR GER HUN BEL ITA SIN RUS JPN MEX USA BRA ABU
