Year,Driver(s),Constructor(s),Poles,Races,Ref.
1950,Juan Manuel Fangio,Alfa Romeo,4,7,[26]
1951,Juan Manuel Fangio,Alfa Romeo,4,8,[27]
1952,Alberto Ascari,Ferrari,5,8,[28]
1953,Alberto Ascari,Ferrari,6,9,[29]
1954,Juan Manuel Fangio,"Maserati, Mercedes",5,9,[30]
1955,Juan Manuel Fangio,Mercedes,3,7,[31]
1956,Juan Manuel Fangio,Ferrari,6,8,[29]
1957,Juan Manuel Fangio,Maserati,4,8,[32]
1958,Mike Hawthorn,Ferrari,4,11,[33]
1959,Stirling Moss,Cooper-Climax,4,9,[34]
1960,Stirling Moss,Cooper-Climax,4,10,[35]
1961,Phil Hill,Ferrari,5,8,[36]
1962,Jim Clark,Lotus-Climax,6,9,[29]
1963,Jim Clark,Lotus-Climax,7,10,[29]
1964,Jim Clark,Lotus-Climax,5,10,[37]
1965,Jim Clark,Lotus-Climax,6,10,[29]
1966,Jack Brabham,Brabham-Repco,3,9,[38]
1967,Jim Clark,Lotus-Ford,6,11,[29]
1968,Chris Amon,Ferrari,3,12,[39]
1969,Jochen Rindt,Lotus-Ford,5,11,[40]
1970,Jackie Stewart,Tyrrell-Ford,4,13,[41]
1970,Jacky Ickx,Ferrari,4,13,[41]
1971,Jackie Stewart,Tyrrell-Ford,6,11,[29]
1972,Jacky Ickx,Ferrari,4,12,[42]
1973,Ronnie Peterson,Lotus-Ford,9,15,[29]
1974,Niki Lauda,Ferrari,9,15,[29]
1975,Niki Lauda,Ferrari,9,14,[29]
1976,James Hunt,McLaren-Ford,8,16,[29]
1977,Mario Andretti,Lotus-Ford,7,17,[29]
1978,Mario Andretti,Lotus-Ford,8,16,[29]
1979,Jacques Laffite,Ligier-Ford,4,15,[43]
1979,Jean-Pierre Jabouille,Renault,4,15,[43]
1980,Alan Jones,Williams-Ford,3,14,[44]
1980,René Arnoux,Renault,3,14,[44]
1981,René Arnoux,Renault,4,15,[45]
1981,Nelson Piquet,Brabham-Ford,4,15,[45]
1982,René Arnoux,Renault,5,16,[46]
1982,Alain Prost,Renault,5,16,[46]
1983,René Arnoux,Ferrari,4,15,[47]
1983,Patrick Tambay,Ferrari,4,15,[47]
1984,Nelson Piquet,Brabham-BMW,9,16,[29]
1985,Ayrton Senna,Lotus-Renault,7,16,[29]
1986,Ayrton Senna,Lotus-Renault,8,16,[29]
1987,Nigel Mansell,Williams-Honda,8,16,[29]
1988,Ayrton Senna,McLaren-Honda,13,16,[29]
1989,Ayrton Senna,McLaren-Honda,13,16,[29]
1990,Ayrton Senna,McLaren-Honda,10,16,[29]
1991,Ayrton Senna,McLaren-Honda,8,16,[29]
1992,Nigel Mansell,Williams-Renault,14,16,[29]
1993,Alain Prost,Williams-Renault,13,16,[29]
1994,Michael Schumacher,Benetton-Ford,6,16,[29]
1995,Damon Hill,Williams-Renault,7,17,[29]
1996,Damon Hill,Williams-Renault,9,16,[29]
1997,Jacques Villeneuve,Williams-Renault,10,17,[29]
1998,Mika Häkkinen,McLaren-Mercedes,9,16,[29]
1999,Mika Häkkinen,McLaren-Mercedes,11,16,[29]
2000,Michael Schumacher,Ferrari,9,17,[29]
2001,Michael Schumacher,Ferrari,11,17,[29]
2002,Juan Pablo Montoya,Williams-BMW,7,17,[29]
2002,Michael Schumacher,Ferrari,7,17,[29]
2003,Michael Schumacher,Ferrari,5,16,[48]
2004,Michael Schumacher,Ferrari,8,18,[29]
2005,Fernando Alonso,Renault,6,19,[29]
2006,Fernando Alonso,Renault,6,18,[29]
2007,Lewis Hamilton,McLaren-Mercedes,6,17,[29]
2007,Felipe Massa,Ferrari,6,17,[29]
2008,Lewis Hamilton,McLaren-Mercedes,7,18,[29]
2009,Jenson Button,Brawn-Mercedes,4,17,[49]
2009,Sebastian Vettel,Red Bull-Renault,4,17,[49]
2009,Lewis Hamilton,McLaren-Mercedes,4,17,[49]
2010,Sebastian Vettel,Red Bull-Renault,10,19,[29]
2011,Sebastian Vettel,Red Bull-Renault,15,19,[29]
2012,Lewis Hamilton,McLaren-Mercedes,7,20,[29]
2013,Sebastian Vettel,Red Bull-Renault,9,19,[29]
2014,Nico Rosberg,Mercedes,11,19,[29]
2015,Lewis Hamilton,Mercedes,11,19,[29]
2016,Lewis Hamilton,Mercedes,12,21,[29]
2017,Lewis Hamilton,Mercedes,11,20,[29]
2018,Lewis Hamilton,Mercedes,11,21,[29]
2019,Charles Leclerc,Ferrari,7,21,[29]
2020,Lewis Hamilton,Mercedes,10,17,[29]
2021,Max Verstappen,Red Bull Racing-Honda,10,22,[29]
2022,Charles Leclerc,Ferrari,9,22,[29]
2023,Max Verstappen,Red Bull Racing-Honda RBPT,12,22,[29]
2024,Max Verstappen,Red Bull Racing-Honda RBPT,8,24,[29]
2024,Lando Norris,McLaren-Mercedes,8,24,[29]
2025,Max Verstappen,Red Bull Racing-Honda RBPT,8,24,[29]
