Season,Grand Prix,Sprint winner,Constructor
2021,British,Max Verstappen,Red Bull Racing-Honda
2021,Italian,Valtteri Bottas,Mercedes
2021,São Paulo,Valtteri Bottas,Mercedes
2022,Emilia Romagna,Max Verstappen,Red Bull Racing-RBPT
2022,Austrian,Max Verstappen,Red Bull Racing-RBPT
2022,São Paulo,George Russell,Mercedes
2023,Azerbaijan,Sergio Pérez,Red Bull Racing-Honda RBPT
2023,Austrian,Max Verstappen,Red Bull Racing-Honda RBPT
2023,Belgian,Max Verstappen,Red Bull Racing-Honda RBPT
2023,Qatar,Oscar Piastri,McLaren-Mercedes
2023,United States,Max Verstappen,Red Bull Racing-Honda RBPT
2023,São Paulo,Max Verstappen,Red Bull Racing-Honda RBPT
2024,Chinese,Max Verstappen,Red Bull Racing-Honda RBPT
2024,Miami,Max Verstappen,Red Bull Racing-Honda RBPT
2024,Austrian,Max Verstappen,Red Bull Racing-Honda RBPT
2024,United States,Max Verstappen,Red Bull Racing-Honda RBPT
2024,São Paulo,Lando Norris,McLaren-Mercedes
2024,Qatar,Oscar Piastri,McLaren-Mercedes
2025,Chinese,Lewis Hamilton,Ferrari
2025,Miami,Lando Norris,McLaren-Mercedes
2025,Belgian,Max Verstappen,Red Bull Racing-Honda RBPT
2025,United States,Max Verstappen,Red Bull Racing-Honda RBPT
2025,São Paulo,Lando Norris,McLaren-Mercedes
2025,Qatar,Oscar Piastri,McLaren-Mercedes
2026,Chinese,,
2026,Miami,,
2026,Canadian,,
2026,British,,
2026,Dutch,,
2026,Singapore,,
