Manufacturer,Titles,Seasons
Ferrari,16,"1961, 1964, 1975, 1976, 1977, 1979, 1982, 1983, 1999, 2000, 2001, 2002, 2003, 2004, 2007, 2008"
Renault[a],12,"1992, 1993, 1994, 1995, 1996, 1997, 2005, 2006, 2010, 2011, 2012, 2013"
Mercedes[b],12,"1998, 2009, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2024, 2025"
Ford[c],10,"1968, 1969, 1970, 1971, 1972, 1973, 1974, 1978, 1980, 1981"
Honda,6,"1986, 1987, 1988, 1989, 1990, 1991"
Climax,4,"1959, 1960, 1963, 1965"
Repco,2,"1966, 1967"
TAG[d],2,"1984, 1985"
Vanwall,1,1958
BRM,1,1962
RBPT[e],1,2022
Honda RBPT,1,2023
