Constructor,Titles,Seasons
Ferrari,16,"1961, 1964, 1975, 1976, 1977, 1979, 1982, 1983, 1999, 2000, 2001, 2002, 2003, 2004, 2007, 2008"
McLaren,10,"1974, 1984, 1985, 1988, 1989, 1990, 1991, 1998, 2024, 2025"
Williams,9,"1980, 1981, 1986, 1987, 1992, 1993, 1994, 1996, 1997"
Mercedes,8,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"
Lotus,7,"1963, 1965, 1968, 1970, 1972, 1973, 1978"
Red Bull,6,"2010, 2011, 2012, 2013, 2022, 2023"
Cooper,2,"1959, 1960"
Brabham,2,"1966, 1967"
Renault,2,"2005, 2006"
Vanwall,1,1958
BRM,1,1962
Matra,1,1969
Tyrrell,1,1971
Benetton,1,1995
Brawn,1,2009
