Driver,Titles,Season(s)
Michael Schumacher,7.0,"1994, 1995, 2000, 2001, 2002, 2003, 2004"
Lewis Hamilton,7.0,"2008, 2014, 2015, 2017, 2018, 2019, 2020"
Juan Manuel Fangio,5.0,"1951, 1954, 1955, 1956, 1957"
Alain Prost,4.0,"1985, 1986, 1989, 1993"
Sebastian Vettel,4.0,"2010, 2011, 2012, 2013"
Max Verstappen,4.0,"2021, 2022, 2023, 2024"
Jack Brabham,3.0,"1959, 1960, 1966"
Jackie Stewart,3.0,"1969, 1971, 1973"
Niki Lauda,3.0,"1975, 1977, 1984"
Nelson Piquet,3.0,"1981, 1983, 1987"
Ayrton Senna,3.0,"1988, 1990, 1991"
Alberto Ascari,2.0,"1952, 1953"
Graham Hill,2.0,"1962, 1968"
Jim Clark,2.0,"1963, 1965"
Emerson Fittipaldi,2.0,"1972, 1974"
Mika Häkkinen,2.0,"1998, 1999"
Fernando Alonso,2.0,"2005, 2006"
Giuseppe Farina,1.0,1950
Mike Hawthorn,1.0,1958
Phil Hill,1.0,1961
John Surtees,1.0,1964
Denny Hulme,1.0,1967
Jochen Rindt,1.0,1970
James Hunt,1.0,1976
Mario Andretti,1.0,1978
Jody Scheckter,1.0,1979
Alan Jones,1.0,1980
Keke Rosberg,1.0,1982
Nigel Mansell,1.0,1992
Damon Hill,1.0,1996
Jacques Villeneuve,1.0,1997
Kimi Räikkönen,1.0,2007
Jenson Button,1.0,2009
Nico Rosberg,1.0,2016
Lando Norris,1.0,2025
35 drivers,,76 titles
