Manufacturer,Titles,Season(s)
Ferrari,15,"1952, 1953, 1956, 1958, 1961, 1964, 1975, 1977, 1979, 2000, 2001, 2002, 2003, 2004, 2007"
Mercedes[a][b],14,"1954,[a] 1955, 1998, 1999, 2008, 2009, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2025"
Ford[c],13,"1968, 1969, 1970, 1971, 1972, 1973, 1974, 1976, 1978, 1980, 1981, 1982, 1994"
Renault[d],11,"1992, 1993, 1995, 1996, 1997, 2005, 2006, 2010, 2011, 2012, 2013"
Honda,6,"1987, 1988, 1989, 1990, 1991, 2021"
Climax,4,"1959, 1960, 1963, 1965"
TAG[e],3,"1984, 1985, 1986"
Alfa Romeo,2,"1950, 1951"
Maserati[a],2,"1954,[a] 1957"
Repco,2,"1966, 1967"
Honda RBPT,2,"2023, 2024"
BRM,1,1962
BMW,1,1983
RBPT[f],1,2022
14 manufacturers,76 titles[a],
