0,1,2,3,4
#,Pilote,Âge,Résultat,Course
1,Max Verstappen,"18 ans, 7 mois et 15 jours",1er,Grand Prix automobile d'Espagne 2016
2,Lance Stroll,"18 ans, 7 mois et 27 jours",3e,Grand Prix automobile d'Azerbaïdjan 2017
3,Andrea Kimi Antonelli,"18 ans, 9 mois et 21 jours",3e,Grand Prix automobile du Canada 2025
4,Lando Norris,"20 ans, 7 mois et 22 jours",3e,Grand Prix automobile d'Autriche 2020
5,Isack Hadjar,"20 ans, 11 mois et 3 jours",3e,Grand Prix automobile des Pays-Bas 2025
6,Sebastian Vettel,"21 ans, 2 mois et 11 jours",1er,Grand Prix automobile d'Italie 2008
7,Daniil Kvyat,21 ans et 3 mois,2e,Grand Prix automobile de Hongrie 2015
8,Kevin Magnussen,"21 ans, 5 mois et 11 jours",2e,Grand Prix automobile d'Australie 2014
9,Charles Leclerc,"21 ans, 5 mois et 15 jours",3e,Grand Prix automobile de Bahreïn 2019
10,Fernando Alonso,"21 ans, 7 mois et 23 jours",3e,Grand Prix automobile de Malaisie 2003
