0,1,2,3
#,Pilote,Âge,Course
1,Luigi Fagioli,52 ans et 9 jours,Grand Prix automobile de Belgique 1950
2,Felice Bonetto,"48 ans, 1 mois et 5 jours",Grand Prix automobile de Grande-Bretagne 1951
3,Giuseppe Farina,"47 ans, 7 mois et 21 jours",Grand Prix automobile de Belgique 1954
4,Juan Manuel Fangio,"46 ans, 6 mois et 26 jours",Grand Prix automobile d'Argentine 1958
5,Piero Taruffi,"45 ans, 7 mois et 6 jours",Grand Prix automobile de Suisse 1952
6,Jack Brabham,"44 ans, 3 mois et 16 jours",Grand Prix automobile de Grande-Bretagne 1970
7,Mauri Rose,44 ans et 4 jours,500 miles d'Indianapolis 1950
8,Karl Kling,"43 ans, 11 mois et 20 jours",Grand Prix automobile d'Italie 1954
9,Raymond Sommer,"43 ans, 9 mois et 18 jours",Grand Prix automobile de Belgique 1950
10,Paul Russo,"43 ans, 1 mois et 20 jours",500 miles d'Indianapolis 1957
