0,1,2,3
#,Pilote,Âge,Course
1,Andrea Kimi Antonelli,"18 ans, 7 mois et 12 jours",Grand Prix automobile du Japon 2025
2,Max Verstappen,"19 ans, 1 mois et 14 jours",Grand Prix automobile du Brésil 2016
3,Lando Norris,"20 ans, 7 mois et 23 jours",Grand Prix automobile d'Autriche 2020
4,Nico Rosberg,"20 ans, 8 mois et 13 jours",Grand Prix automobile de Bahreïn 2006
5,Charles Leclerc,"21 ans, 5 mois et 15 jours",Grand Prix automobile de Bahreïn 2019
6,Esteban Gutiérrez,"21 ans, 9 mois et 7 jours",Grand Prix automobile d'Espagne 2013
7,Fernando Alonso,"21 ans, 10 mois et 17 jours",Grand Prix automobile du Canada 2003
8,Bruce McLaren,"21 ans, 10 mois et 18 jours",Grand Prix automobile de Grande-Bretagne 1959
9,Sebastian Vettel,"21 ans, 11 mois et 18 jours",Grand Prix automobile de Grande-Bretagne 2009
10,Daniil Kvyat,22 ans et 19 jours,Grand Prix automobile d'Espagne 2016
