Titres,Pays,Championnat
21,Royaume-Uni,"1958, 1962, 1963, 1964, 1965, 1968, 1969, 1971, 1973, 1976, 1992, 1996, 2008, 2009, 2014, 2015, 2017, 2018, 2019, 2020, 2025"
12,Allemagne,"1994, 1995, 2000, 2001, 2002, 2003, 2004, 2010, 2011, 2012, 2013, 2016"
8,Brésil,"1972, 1974, 1981, 1983, 1987, 1988, 1990, 1991"
5,Argentine,"1951, 1954, 1955, 1956, 1957"
4,Australie,"1959, 1960, 1966, 1980"
4,Autriche,"1970, 1975, 1977, 1984"
4,France,"1985, 1986, 1989, 1993"
4,Finlande,"1982, 1998, 1999, 2007"
4,Pays-Bas,"2021, 2022, 2023, 2024"
3,Italie,"1950, 1952, 1953"
2,États-Unis,"1961, 1978"
2,Espagne,"2005, 2006"
1,Nouvelle-Zélande,1967
1,Afrique du Sud,1979
1,Canada,1997
