Titres,Constructeurs,Années
15,Ferrari,"1952, 1953, 1956, 1958, 1961, 1964, 1975, 1977, 1979, 2000, 2001, 2002, 2003, 2004, 2007"
13,McLaren,"1974, 1976, 1984, 1985, 1986, 1988, 1989, 1990, 1991, 1998, 1999, 2008, 2025"
9,Mercedes-Benz,"1954, 1955, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
8,Red Bull,"2010, 2011, 2012, 2013, 2021, 2022, 2023, 2024"
7,Williams,"1980, 1982, 1987, 1992, 1993, 1996, 1997"
6,Lotus,"1963, 1965, 1968, 1970, 1972, 1978"
4,Brabham,"1966, 1967, 1981, 1983"
2,Alfa Romeo,"1950, 1951"
2,Cooper,"1959, 1960"
2,Tyrrell,"1971, 1973"
2,Benetton,"1994, 1995"
2,Renault,"2005, 2006"
1,Maserati,1957
1,BRM,1962
1,Matra,1969
1,Brawn,2009
