Titres,Moteurs,Années
31,Ferrari,"Pilote : 1952, 1953, 1956, 1958, 1961, 1964, 1975, 1977, 1979, 2000, 2001, 2002, 2003, 2004, 2007 Constructeur : 1961, 1964, 1975, 1976, 1977, 1979, 1982, 1983, 1999, 2000, 2001, 2002, 2003, 2004, 2007, 2008"
26,Mercedes-Benz,"Pilote : 1954, 1955, 1998, 1999, 2008, 2009, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2025 Constructeur : 1998, 2009, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2024, 2025"
23,Ford,"Pilote : 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1976, 1978, 1980, 1981, 1982, 1994 Constructeur : 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1978, 1980, 1981"
23,Renault,"Pilote : 1992, 1993, 1995, 1996, 1997, 2005, 2006, 2010, 2011, 2012, 2013 Constructeur : 1992, 1993, 1994, 1995, 1996, 1997, 2005, 2006, 2010, 2011, 2012, 2013"
12,Honda,"Pilote : 1987, 1988, 1989, 1990, 1991, 2021 Constructeur : 1986, 1987, 1988, 1989, 1990, 1991"
8,Coventry Climax,"Pilote : 1959, 1960, 1963, 1965 Constructeur : 1959, 1960, 1963, 1965"
5,TAG,"Pilote : 1984, 1985, 1986 Constructeur : 1984, 1985"
5,Red Bull,"Pilote : 2022, 2023, 2024 Constructeur : 2022, 2023"
4,Repco,"Pilote : 1966, 1967 Constructeur : 1966, 1967"
2,Alfa Romeo,"Pilote : 1950, 1951 Constructeur : —"
2,Maserati,"Pilote : 1954, 1957 Constructeur : —"
2,BRM,Pilote : 1962 Constructeur : 1962
1,Vanwall,Pilote : — Constructeur : 1958
1,BMW,Pilote : 1983 Constructeur : —
