vteClasses of auto racing,vteClasses of auto racing.1
Formula  racing,Active F1 F2 F3 F4 F600 Formula 1000 Formula Atlantic Formula Car Challenge Formula Continental Formula E Formula Enterprises Formula Ford FF1600 Formula Regional GB3 Formula Vee IndyCar Super Formula Supermodified BOSS GP Monoposto Racing Club V de V Challenge Monoplace Defunct F3000 F5000 Formula A (SCCA) Formula B (SCCA) Formula C (SCCA) FCJ Formula Dream Formula Holden S5000 Formula Junior Formula Libre Formula Mondial Formula Pacific Formula Super Vee Australian National Formula Tasman Series
Active,F1 F2 F3 F4 F600 Formula 1000 Formula Atlantic Formula Car Challenge Formula Continental Formula E Formula Enterprises Formula Ford FF1600 Formula Regional GB3 Formula Vee IndyCar Super Formula Supermodified BOSS GP Monoposto Racing Club V de V Challenge Monoplace
Defunct,F3000 F5000 Formula A (SCCA) Formula B (SCCA) Formula C (SCCA) FCJ Formula Dream Formula Holden S5000 Formula Junior Formula Libre Formula Mondial Formula Pacific Formula Super Vee Australian National Formula Tasman Series
One-make formulae,Active Formula Car Challenge Formula Enterprise Indy NXT MRF Challenge SRF USF Pro 2000 USF2000 USF Juniors FIA Formula Championship 2 3 Defunct ADAC Formel Masters Barber Pro CFGP Formula Asia Formula Abarth Alfa BMW Chrysler König LGB Swift Hyundai Lightning Maruti Masters China Russia Mazda Nissan Opel/Vauxhall Palmer Audi RUS Rolon Formula Renault 2.0L GP2 GP3 Toyota Racing Series S5000
Active,Formula Car Challenge Formula Enterprise Indy NXT MRF Challenge SRF USF Pro 2000 USF2000 USF Juniors FIA Formula Championship 2 3
Defunct,ADAC Formel Masters Barber Pro CFGP Formula Asia Formula Abarth Alfa BMW Chrysler König LGB Swift Hyundai Lightning Maruti Masters China Russia Mazda Nissan Opel/Vauxhall Palmer Audi RUS Rolon Formula Renault 2.0L GP2 GP3 Toyota Racing Series S5000
Kart racing,Active Direct-drive OK OK-J OK-N OKN-J 60 Mini Gearbox KZ KZ2 KZ2-M Superkart Defunct KF1
Active,Direct-drive OK OK-J OK-N OKN-J 60 Mini Gearbox KZ KZ2 KZ2-M Superkart
Defunct,KF1
Touring car racing,Active BTCC NGTC (TCN-1) TCR (TCN-2) Stock Car Pro Series Stock Series Supercars Top Race V6 Turismo Nacional Turismo Nacional BR TC2000 Defunct Appendix J BTC-T Group 1 Group 2 Group 5 Group A Group C Group E Group F Group G Group H Group N Aus Group S Class 1 Class 2 Super 2000 Diesel 2000 DTM ETCR Superstars V8Star WTCC WTCR
Active,BTCC NGTC (TCN-1) TCR (TCN-2) Stock Car Pro Series Stock Series Supercars Top Race V6 Turismo Nacional Turismo Nacional BR TC2000
Defunct,Appendix J BTC-T Group 1 Group 2 Group 5 Group A Group C Group E Group F Group G Group H Group N Aus Group S Class 1 Class 2 Super 2000 Diesel 2000 DTM ETCR Superstars V8Star WTCC WTCR
Stock car racing,Active ARCA Allison Legacy Series IMCA Sport Compact Late model Legends Modifieds NASCAR Cup O'Reilly Truck Canada Whelen Euro Series Mexico Super Stock Street Stock Turismo Carretera Defunct ASCAR AUSCAR IROC SRX
Active,ARCA Allison Legacy Series IMCA Sport Compact Late model Legends Modifieds NASCAR Cup O'Reilly Truck Canada Whelen Euro Series Mexico Super Stock Street Stock Turismo Carretera
Defunct,ASCAR AUSCAR IROC SRX
Oval,BriSCA F1 BriSCA F2 V8 Hotstox Hot Rods Superstocks Superstox Sprint car racing Midget car racing Quarter midget racing
Rallying,Active Groups Rally Group Rally1 Group Rally2 Group Rally3 Group Rally4 Group Rally5 Group R-GT Defunct Group 1 Group 2 Group 4 Group A Group B Group S Group N Group R Super 1600 Super 2000 World Rally Car
Active,Groups Rally Group Rally1 Group Rally2 Group Rally3 Group Rally4 Group Rally5 Group R-GT
Defunct,Group 1 Group 2 Group 4 Group A Group B Group S Group N Group R Super 1600 Super 2000 World Rally Car
Sports prototypes,Active LMDh LMH LMP LMP2 LMP3 Clubmans Defunct DP DPi Group 3 Group 4 Group 5 Group 6 Group 7 Group A Group C Group CN GC GC-21 IMSA GTP (1981–1993 era) LMP LMP1 LMPC S2000
Active,LMDh LMH LMP LMP2 LMP3 Clubmans
Defunct,DP DPi Group 3 Group 4 Group 5 Group 6 Group 7 Group A Group C Group CN GC GC-21 IMSA GTP (1981–1993 era) LMP LMP1 LMPC S2000
Grand touring,Active GT3 GT2 GT4 GT500 GT300 Trans-Am Defunct Group 3 Group 4 Group 5 Group B Group D GT1 (1993–1999) GT1 (2000–2012) GT2 (1993–1999) GT2 (2005–2010) GT3 (1998–1999) LM GTE IMSA AAGT GTO GTS GTU GTX Appendix K
Active,GT3 GT2 GT4 GT500 GT300 Trans-Am
Defunct,Group 3 Group 4 Group 5 Group B Group D GT1 (1993–1999) GT1 (2000–2012) GT2 (1993–1999) GT2 (2005–2010) GT3 (1998–1999) LM GTE IMSA AAGT GTO GTS GTU GTX Appendix K
