Formula One articles by quality and importance,Formula One articles by quality and importance,Formula One articles by quality and importance,Formula One articles by quality and importance,Formula One articles by quality and importance,Formula One articles by quality and importance,Formula One articles by quality and importance,Unnamed: 7_level_0
Quality,Importance,Importance,Importance,Importance,Importance,Importance,Unnamed: 7_level_1
Quality,Top,High,Mid,Low,NA,Total,Unnamed: 7_level_2
FA,,5,8,,,13,
FL,3,6,3,4,,16,
GA,3,12,34,84,,133,
B,23,32,61,125,,241,
C,31,75,131,382,,619,
Start,12,115,366,1478,,1971,
Stub,,6,116,1293,,1415,
List,,10,23,24,1,58,
Category,,,,,734,734,
Disambig,,,,,17,17,
File,,,,,180,180,
Portal,,,,,34,34,
Project,,,,,116,116,
Redirect,,,,15,2156,2171,
Template,,,,,354,354,
Other,,,,,13,13,
Assessed,72,261,742,3405,3605,8085,
Total,72,261,742,3405,3605,8085,
WikiWork factors (?),WikiWork factors (?),"ω = 21,746","ω = 21,746","ω = 21,746",Ω = 4.97,Ω = 4.97,Ω = 4.97
