"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","reference","reference href","cite-bracket","cite-bracket 2","abbr","abbr 2","abbr 3"
"L' commence en  avec l'uniformisation des règles voulue par la  de la  et la création de la « Formule de Course Internationale n°1 ». Le  sera créé en 1950.","histoire de la réglementation de la Formule 1","1946","https://fr.wikipedia.org/wiki/1946","Fédération internationale de l'automobile","https://fr.wikipedia.org/wiki/F%C3%A9d%C3%A9ration_internationale_de_l%27automobile","","","","","","",""
"La réglementation de la  correspond à l'ensemble des règlements sportifs et techniques édictés par la  qui régissent les Grands Prix. Au fil des années, elle s'est adaptée aux exigences économiques et de sécurité ainsi qu'aux avancées technologiques. La FIA a multiplié les changements de règlements recherchant toujours plus de sécurité, par exemple en développant de véritables dispositifs médicaux sur les circuits. De nombreuses innovations et améliorations technologiques ont ainsi été interdites pendant des années afin de brider la vitesse des voitures et qu'ainsi les Grand Prix se déroulent dans les meilleures conditions de sécurité possible. Sans ces interdictions, les monoplaces d'aujourd'hui pourraient négocier certaines courbes à plus de  . Les conséquences d'un accident à cette vitesse seraient certainement la mort pour le pilote.","300","Formule 1","https://fr.wikipedia.org/wiki/Formule_1","FIA","https://fr.wikipedia.org/wiki/F%C3%A9d%C3%A9ration_internationale_de_l%27automobile","1","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-1","[","]","km/h","",""
"Depuis l', la FIA s'est appliquée à créer de nouvelles règles visant à réduire le coût de la discipline. Au cours des dernières années, les fonds nécessaires pour faire courir une écurie avaient considérablement augmenté ce qui a mis en difficulté de nombreuses écuries. C'est la raison pour laquelle depuis la  la F1 s'est engagée dans un programme drastique de réductions des dépenses.","","saison 2009","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2009","","","3","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-3","[","]","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Bien que des courses de Formule 1 se déroulent depuis , ce n'est qu'en  que le  est créé. Les règles de sécurité sont quasi inexistantes durant la première décennie de courses et les avancées technologiques sont extrêmement lentes comparées aux standards modernes ce qui explique pourquoi la réglementation ne subit que très peu de modifications.","","1948","https://fr.wikipedia.org/wiki/1948","1950","https://fr.wikipedia.org/wiki/1950","5","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-5","[","]","","",""
": la  des moteurs est limitée à 1 500  avec  (supercharger ou ) ou 4 500  pour les moteurs atmosphériques. Aucune limite de poids n'est imposée.","1950","cylindrée","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1950","compresseur","https://fr.wikipedia.org/wiki/Cylindr%C3%A9e","6","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles23-6","[","]","cm","3","cm"
": le championnat pilotes adopte la réglementation de la . La cylindrée maximum autorisée est désormais de 750  pour les moteurs à compresseur ou 2 000  pour les moteurs atmosphériques. De nombreuses courses ne comptant pas pour le classement au championnat du monde se déroulent durant cette période.","1952","Formule 2","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1952","","https://fr.wikipedia.org/wiki/Formule_2","","","","","cm","3","cm"
": la cylindrée est limitée à 750  pour les moteurs avec compresseur et 2 500  pour les moteurs atmosphériques. Aucune limite de poids.","1954","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1954","","","6","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles23-6","[","]","cm","3","cm"
": l'utilisation de l' devient obligatoire et les carburants à base d'alcool sont interdits.","1958","essence","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1958","","https://fr.wikipedia.org/wiki/Essence_(hydrocarbure)","7","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-7","[","]","","",""
